state,crop,season,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,area_hectares,pesticide_kg,irrigation_mm,yield_tons_per_hectare
Punjab,Wheat,Kharif,653.49,30.42,37.17,23.94,70.07,5.74,103.04,14.76,73.64,1.16,8.07,258.33,4.827
Haryana,Soybean,Kharif,911.48,31.02,38.92,25.95,58.99,6.16,21.32,34.34,67.81,11.03,11.5,905.53,3.716
Bihar,Wheat,Kharif,496.66,27.92,33.85,18.66,72.99,7.11,33.34,12.76,78.49,13.65,11.08,972.97,4.465
Uttar Pradesh,Soybean,Zaid,1073.44,20.54,28.81,13.95,59.73,5.63,94.97,28.1,51.79,22.38,9.27,225.58,3.777
Uttar Pradesh,Rice,Zaid,1066.4,22.95,32.12,16.89,45.98,7.55,111.04,17.34,26.8,9.0,11.67,1074.98,6.589
Punjab,Cotton,Zaid,1030.0,29.3,35.39,24.69,68.97,5.76,69.35,18.58,35.32,23.86,6.76,641.6,3.565
Maharashtra,Rice,Kharif,811.7,22.15,31.51,15.87,87.13,6.34,54.72,52.75,73.59,19.03,10.21,1015.5,7.024
Haryana,Soybean,Rabi,467.69,27.64,35.17,18.33,54.18,5.91,41.46,52.3,15.57,21.79,1.31,591.66,3.188
Haryana,Soybean,Rabi,1089.06,27.24,34.73,17.89,68.93,6.22,85.93,59.0,70.14,21.24,8.0,764.3,5.511
Bihar,Soybean,Zaid,674.93,32.38,41.65,27.69,74.46,5.74,74.48,18.82,47.7,16.32,12.51,1012.18,3.452
Karnataka,Barley,Rabi,883.99,23.21,30.96,15.78,65.03,5.45,91.56,41.31,20.87,9.49,8.43,525.2,4.795
Haryana,Wheat,Rabi,1039.4,26.97,35.59,21.87,70.05,7.34,83.73,20.64,66.7,14.55,14.38,911.77,6.23
Punjab,Cotton,Zaid,831.91,24.86,33.33,20.72,52.0,6.74,66.06,21.9,45.18,21.32,3.5,567.17,3.044
Bihar,Rice,Rabi,711.04,23.76,28.15,14.22,49.88,6.23,47.29,38.44,24.42,20.07,7.62,766.46,5.948
Uttar Pradesh,Soybean,Kharif,1055.5,23.34,27.69,14.57,65.07,6.19,76.44,12.81,31.24,19.0,6.48,760.52,4.161
Punjab,Rice,Rabi,963.54,22.94,27.58,13.23,56.95,6.05,114.67,11.76,78.76,20.98,3.61,799.55,6.499
Bihar,Wheat,Kharif,837.04,25.32,30.03,19.82,57.47,5.08,70.74,19.77,27.62,16.44,2.07,867.84,5.338
Uttar Pradesh,Maize,Zaid,836.07,20.05,24.38,10.69,68.14,6.8,76.24,21.22,44.85,20.16,11.98,800.39,5.4
Maharashtra,Cotton,Rabi,522.47,19.41,24.47,14.99,56.26,6.14,50.28,39.66,63.85,23.48,1.86,350.38,4.077
Punjab,Wheat,Kharif,1199.77,32.96,40.96,25.08,53.94,5.95,95.01,47.6,30.55,15.72,10.29,474.43,5.434
Haryana,Barley,Rabi,849.36,25.93,31.03,18.05,73.45,6.49,74.2,25.75,35.37,18.76,2.41,971.5,4.786
Bihar,Soybean,Zaid,856.7,25.72,29.95,16.24,74.94,7.57,93.27,24.22,54.25,20.12,1.81,1158.82,4.55
Punjab,Wheat,Zaid,743.34,29.65,34.37,21.12,60.46,6.99,27.09,45.57,27.1,5.34,2.96,505.8,5.036
Maharashtra,Soybean,Kharif,877.98,23.7,27.81,17.51,82.39,6.69,30.3,25.93,63.81,2.14,10.34,820.54,3.85
Punjab,Rice,Kharif,1234.68,19.06,27.91,14.32,67.6,6.03,41.23,18.26,75.87,4.31,11.77,605.26,5.52
Punjab,Soybean,Zaid,1224.05,24.82,34.22,19.69,88.47,7.43,27.86,59.01,22.99,5.42,12.24,446.75,4.714
Karnataka,Cotton,Zaid,685.1,25.02,30.75,17.44,54.34,5.0,93.65,30.79,50.3,18.48,1.38,654.95,3.242
Uttar Pradesh,Maize,Zaid,604.56,23.23,27.69,13.67,53.13,6.29,30.1,38.87,32.27,21.15,10.4,203.91,4.09
Bihar,Wheat,Kharif,1231.24,21.74,31.13,14.3,47.49,6.03,74.64,18.27,48.62,24.0,6.65,625.35,5.221
Haryana,Wheat,Zaid,914.43,22.09,31.45,13.67,75.66,6.72,20.53,25.4,58.51,7.61,12.69,677.38,4.803
Punjab,Wheat,Zaid,832.81,28.97,36.38,23.19,70.03,6.5,25.39,57.07,36.26,18.6,5.29,1153.3,5.57
Maharashtra,Soybean,Kharif,1257.53,28.06,33.72,18.67,70.7,5.66,78.02,21.17,28.98,15.58,2.3,669.78,4.279
Bihar,Wheat,Zaid,1166.89,27.05,35.99,21.46,71.19,6.37,49.26,29.3,25.71,17.33,8.58,1094.46,4.894
Haryana,Cotton,Zaid,410.73,22.91,32.59,14.61,73.44,8.21,44.28,17.03,42.91,20.81,5.29,209.56,2.672
Karnataka,Maize,Kharif,892.55,26.8,33.16,17.51,54.74,6.67,98.95,49.56,58.12,23.27,12.15,418.9,5.534
Maharashtra,Cotton,Rabi,871.24,21.46,29.16,15.58,78.84,7.13,46.61,55.33,37.37,13.15,7.45,1123.63,4.006
Karnataka,Rice,Kharif,845.6,33.63,43.32,24.97,54.35,5.18,66.95,43.69,51.47,19.51,1.29,1019.04,5.67
Bihar,Cotton,Rabi,1052.22,25.75,30.83,20.41,67.45,6.17,109.26,36.23,49.61,8.32,12.11,310.49,4.352
Haryana,Rice,Kharif,497.79,25.93,30.53,16.97,79.54,5.0,55.2,54.82,60.99,1.96,13.48,613.9,5.841
Uttar Pradesh,Rice,Zaid,525.98,25.28,31.39,20.35,81.78,5.76,61.66,59.81,26.47,20.0,13.96,888.05,6.042
Bihar,Cotton,Kharif,1154.9,33.33,39.58,28.35,63.11,6.05,76.9,21.49,63.8,2.66,9.53,625.7,3.702
Karnataka,Wheat,Kharif,710.24,29.68,38.47,22.62,69.3,6.87,114.4,14.78,76.5,19.5,2.05,719.33,5.734
Bihar,Wheat,Rabi,1141.5,26.12,31.48,18.87,52.98,5.46,75.35,27.73,63.61,17.7,10.63,577.8,5.911
Karnataka,Barley,Zaid,722.26,24.87,34.07,19.38,76.38,7.22,26.07,55.15,54.8,23.01,8.69,1021.01,5.18
Uttar Pradesh,Soybean,Rabi,841.06,26.07,35.78,20.42,65.2,6.54,50.85,59.55,18.05,14.76,7.19,276.53,4.458
Uttar Pradesh,Maize,Rabi,721.4,30.86,38.61,26.25,70.12,6.54,99.76,36.65,15.18,13.8,7.5,843.08,4.838
Karnataka,Soybean,Kharif,489.41,27.8,33.47,22.5,55.17,6.69,75.68,31.2,30.54,13.25,3.65,764.32,3.515
Maharashtra,Maize,Rabi,883.44,27.56,35.23,19.06,51.17,7.19,40.87,25.24,72.9,10.47,4.88,941.18,5.302
Karnataka,Cotton,Rabi,689.23,27.13,34.28,22.33,66.38,6.52,112.17,46.02,30.91,11.05,6.11,235.82,3.569
Maharashtra,Maize,Rabi,855.33,28.4,33.26,21.39,70.02,7.35,36.94,40.91,64.24,21.44,5.12,233.92,5.237
Haryana,Cotton,Kharif,982.75,24.66,34.47,17.16,61.06,6.32,38.17,49.97,60.09,24.46,4.03,533.13,3.912
Punjab,Soybean,Zaid,825.53,27.05,32.06,22.06,53.45,6.32,94.68,46.63,57.23,10.53,0.91,1001.78,4.637
Bihar,Cotton,Kharif,592.34,25.49,35.33,20.98,69.5,6.07,98.77,54.22,64.12,24.42,0.74,819.51,3.427
Bihar,Barley,Rabi,973.31,24.19,33.15,16.41,81.29,7.19,117.61,25.4,15.07,24.43,6.5,630.93,4.574
Uttar Pradesh,Barley,Rabi,411.23,24.24,31.14,16.21,95.0,6.27,105.94,47.59,76.54,6.22,5.18,861.48,4.622
Bihar,Rice,Kharif,960.8,25.27,30.3,17.11,55.87,6.03,54.58,58.16,22.82,12.6,8.54,736.51,6.135
Karnataka,Barley,Rabi,989.13,22.66,30.83,15.58,62.1,6.99,69.72,36.94,45.48,7.0,4.51,263.5,5.1
Haryana,Wheat,Zaid,706.32,31.12,37.44,24.06,66.38,6.7,20.59,52.74,45.75,18.14,14.4,202.83,4.855
Maharashtra,Soybean,Kharif,1051.52,29.16,39.09,21.67,63.14,6.37,78.68,34.74,29.0,12.52,0.69,1199.48,4.851
Maharashtra,Maize,Zaid,677.21,20.32,29.65,10.67,58.11,6.6,88.68,12.25,61.6,0.62,13.75,918.17,4.479
Karnataka,Rice,Rabi,1284.08,21.03,29.99,16.9,58.07,6.04,85.52,41.2,36.14,24.34,1.85,976.72,7.415
Maharashtra,Barley,Kharif,784.55,29.59,38.22,23.68,62.54,7.02,56.76,40.78,43.22,22.01,10.92,310.5,3.906
Uttar Pradesh,Wheat,Rabi,566.96,27.24,35.65,22.46,64.54,7.27,89.53,36.64,54.13,11.01,1.71,1128.84,6.079
Haryana,Barley,Zaid,946.25,16.35,26.01,10.26,62.94,5.75,62.26,58.39,73.58,19.11,1.8,902.13,4.707
Haryana,Wheat,Rabi,934.45,21.17,29.1,16.59,88.49,6.96,59.51,55.77,30.09,23.79,1.95,864.81,5.63
Karnataka,Barley,Zaid,920.42,20.44,28.29,11.75,67.62,6.73,48.83,51.21,59.04,15.55,14.01,288.87,4.951
Bihar,Barley,Kharif,830.48,21.44,29.54,12.79,71.14,6.08,38.21,12.62,46.91,3.87,5.12,1040.43,4.116
Uttar Pradesh,Maize,Zaid,852.23,22.9,27.9,16.64,77.17,7.38,83.37,23.38,56.78,23.82,1.36,1015.99,4.798
Punjab,Barley,Kharif,844.22,21.3,25.83,13.6,55.92,5.45,102.26,44.26,39.74,4.58,9.72,696.97,4.309
Bihar,Barley,Zaid,711.89,25.87,35.28,18.4,78.07,6.67,60.46,42.25,31.31,17.69,3.89,409.13,4.472
Maharashtra,Soybean,Kharif,865.97,21.62,26.69,14.22,51.55,6.86,108.82,45.96,57.32,7.4,2.31,952.95,5.491
Karnataka,Rice,Rabi,1132.59,34.27,43.08,26.92,82.12,6.31,81.6,24.88,60.21,17.67,7.1,736.4,6.129
Punjab,Maize,Rabi,595.7,20.1,24.3,14.85,70.28,6.81,46.22,17.7,62.03,14.68,1.43,660.13,4.353
Bihar,Barley,Zaid,729.95,18.67,25.56,11.2,52.45,7.3,94.88,32.37,57.95,9.46,3.79,283.62,5.342
Uttar Pradesh,Barley,Zaid,1144.4,28.37,36.66,22.26,72.86,5.92,42.75,36.32,28.66,0.58,10.51,907.26,5.183
Haryana,Soybean,Zaid,1180.44,35.41,43.28,25.63,48.4,6.22,119.93,41.29,47.31,22.98,12.55,310.11,4.591
Karnataka,Wheat,Kharif,988.21,30.15,37.26,25.69,54.52,5.68,39.04,23.54,66.88,16.03,7.24,531.6,5.141
Uttar Pradesh,Barley,Rabi,1048.48,22.42,32.31,14.16,68.27,6.97,109.57,47.0,64.85,10.88,7.86,391.55,5.076
Uttar Pradesh,Maize,Rabi,1014.09,28.08,37.06,22.39,55.51,6.73,62.92,32.72,35.82,16.89,7.54,274.11,5.451
Punjab,Maize,Kharif,1107.37,21.44,29.65,13.27,88.9,6.57,73.55,25.63,15.38,16.35,4.7,450.1,4.685
Bihar,Wheat,Kharif,702.63,29.36,35.72,24.88,62.39,7.22,89.4,33.69,34.99,9.47,9.36,454.45,5.25
Uttar Pradesh,Wheat,Kharif,1130.52,27.57,36.61,20.38,71.27,5.95,22.34,30.6,28.27,24.92,13.98,1002.19,5.16
Maharashtra,Soybean,Zaid,793.48,21.42,30.18,12.12,59.79,6.39,65.48,11.35,71.16,8.78,3.39,609.2,4.392
Bihar,Wheat,Kharif,1280.41,28.8,38.46,21.49,74.91,6.11,119.52,45.96,29.16,2.74,3.39,447.74,6.677
Karnataka,Soybean,Kharif,851.61,37.17,43.9,28.2,65.84,6.41,110.81,57.99,26.76,6.52,9.55,340.89,3.66
Punjab,Wheat,Rabi,167.32,21.75,27.3,12.14,69.65,7.34,60.73,13.4,74.49,18.7,10.45,882.7,4.315
Karnataka,Wheat,Zaid,524.04,20.56,24.84,16.39,67.63,7.12,99.81,57.42,26.4,7.25,1.28,1189.05,5.841
Maharashtra,Barley,Rabi,623.56,31.11,36.63,26.0,54.26,5.93,75.75,25.41,62.38,14.41,8.22,1151.29,3.97
Maharashtra,Soybean,Rabi,450.96,26.09,31.34,22.08,80.23,6.78,86.54,31.87,56.55,14.5,3.96,718.77,3.953
Uttar Pradesh,Wheat,Kharif,688.45,29.54,39.44,20.17,82.75,6.8,33.8,52.67,26.92,10.93,14.77,297.05,4.241
Punjab,Maize,Rabi,1052.04,29.28,38.57,20.07,63.93,6.61,53.69,36.74,19.67,10.03,12.31,373.19,4.399
Maharashtra,Wheat,Zaid,1119.63,28.33,33.17,20.61,45.4,7.24,100.67,14.0,72.73,24.0,1.13,1150.33,6.077
Bihar,Maize,Rabi,991.29,34.75,44.62,24.8,67.44,6.85,47.3,16.28,24.67,23.44,10.41,250.46,3.723
Uttar Pradesh,Rice,Rabi,768.49,21.2,29.56,13.14,51.44,6.39,24.32,35.03,37.12,7.48,4.41,848.95,5.391
Uttar Pradesh,Soybean,Rabi,740.96,33.4,39.84,28.26,79.72,7.27,61.36,53.75,64.37,13.24,7.29,1159.9,4.168
Uttar Pradesh,Wheat,Zaid,824.26,29.32,39.11,24.83,35.29,6.42,61.32,26.82,67.27,16.53,3.41,809.91,5.378
Punjab,Wheat,Rabi,811.91,25.12,29.7,19.57,87.26,6.24,97.91,47.29,36.47,3.24,13.43,700.85,4.759
Karnataka,Cotton,Kharif,1090.08,30.48,34.54,22.75,60.39,6.07,102.48,59.94,39.07,0.99,7.65,476.28,4.23
Karnataka,Cotton,Zaid,871.75,20.5,27.63,10.96,86.17,5.86,108.56,33.09,35.66,1.41,6.57,700.6,4.01
Haryana,Maize,Kharif,1044.51,24.47,33.82,16.57,67.72,6.89,36.51,25.05,18.29,9.07,14.98,529.31,5.353
Punjab,Wheat,Kharif,669.41,31.93,38.17,24.02,82.45,6.93,110.49,34.09,78.81,2.26,4.51,616.71,4.936
Karnataka,Maize,Zaid,563.38,28.04,33.7,19.14,58.06,5.56,49.94,25.2,40.25,19.21,7.41,353.83,4.184
Maharashtra,Barley,Rabi,914.14,23.22,30.09,15.13,56.07,6.54,118.67,46.02,54.56,12.29,10.82,326.77,5.398
Punjab,Barley,Rabi,847.85,24.61,33.14,19.24,75.66,6.16,36.86,45.44,44.92,23.01,7.52,578.87,4.401
Haryana,Soybean,Zaid,1034.31,20.76,28.62,14.05,84.36,6.49,48.15,48.33,62.38,5.53,7.4,296.99,3.616
Uttar Pradesh,Rice,Kharif,907.15,26.7,32.73,21.17,71.17,6.34,25.93,25.71,64.42,17.51,14.81,559.53,5.642
Bihar,Soybean,Rabi,452.35,19.28,26.35,10.58,81.95,7.29,94.14,28.23,67.71,20.69,8.71,418.15,3.399
Bihar,Soybean,Rabi,437.98,32.48,39.5,26.23,40.55,6.27,74.91,43.31,22.12,6.76,10.96,993.59,3.01
Maharashtra,Maize,Kharif,959.48,25.42,33.79,18.74,74.8,6.69,41.32,37.44,22.5,7.33,2.91,520.05,4.974
Punjab,Barley,Rabi,452.99,32.23,39.46,25.33,58.08,7.03,36.2,50.71,19.0,12.31,7.92,397.59,3.207
Punjab,Soybean,Kharif,709.0,27.42,36.27,18.02,74.0,6.34,60.96,54.08,40.99,3.15,14.78,699.68,3.379
Bihar,Wheat,Rabi,791.7,18.82,24.66,11.92,75.71,7.23,42.94,41.11,64.39,24.25,12.72,286.13,5.413
Uttar Pradesh,Wheat,Rabi,900.52,25.72,31.86,21.32,62.77,5.78,87.85,17.94,48.43,22.59,1.29,837.89,5.268
Uttar Pradesh,Rice,Rabi,928.03,28.56,34.49,24.25,73.02,5.47,24.0,48.98,71.28,0.83,12.25,1181.21,5.843
Punjab,Rice,Zaid,703.3,26.37,35.68,18.12,58.69,6.74,71.25,28.65,36.42,4.86,12.76,905.01,5.435
Haryana,Barley,Zaid,840.23,33.96,41.71,29.31,75.19,6.23,22.58,52.77,38.89,8.9,2.22,860.42,4.047
Maharashtra,Rice,Zaid,836.01,19.59,28.27,11.41,49.41,6.18,86.36,10.34,60.41,6.92,8.36,311.33,5.517
Punjab,Cotton,Zaid,771.27,24.62,29.41,17.26,69.85,7.15,100.87,17.34,42.09,11.06,5.75,695.59,3.6
Maharashtra,Wheat,Rabi,589.93,30.87,39.88,21.08,69.17,6.63,101.34,34.54,20.7,19.76,6.41,408.07,4.985
Maharashtra,Maize,Kharif,674.27,31.74,37.21,24.67,68.13,7.22,93.94,42.41,47.09,13.44,14.34,1110.9,5.395
Bihar,Rice,Rabi,768.07,17.79,24.11,8.47,64.71,6.29,80.99,27.8,55.46,10.54,12.04,1154.31,6.014
Karnataka,Cotton,Rabi,621.25,24.13,32.91,16.63,59.27,5.0,62.67,18.83,27.7,19.74,14.07,578.25,3.16
Bihar,Barley,Kharif,423.42,23.87,29.89,17.07,69.92,7.11,36.42,34.56,44.94,13.87,2.1,353.53,3.9
Haryana,Cotton,Zaid,843.11,36.13,41.46,28.19,66.32,6.68,100.88,31.59,74.48,5.24,13.21,1015.91,4.36
Haryana,Cotton,Rabi,1554.05,27.04,36.7,18.83,83.62,5.72,101.71,46.28,57.0,22.23,9.39,275.29,4.201
Punjab,Cotton,Zaid,977.99,27.3,34.63,22.11,61.75,7.17,87.54,40.22,47.45,6.69,8.12,661.7,4.796
Maharashtra,Soybean,Zaid,1039.85,29.48,39.03,19.53,64.71,6.64,62.51,17.43,79.88,23.36,14.75,343.9,4.18
Bihar,Soybean,Kharif,772.91,29.66,36.76,25.43,81.15,6.94,20.28,18.0,48.67,14.24,5.48,227.93,3.36
Maharashtra,Rice,Kharif,1002.81,28.9,36.45,20.73,52.52,5.42,63.61,31.5,46.91,11.58,6.87,410.37,5.491
Punjab,Cotton,Zaid,995.91,34.4,42.35,28.23,53.99,6.09,104.59,38.39,74.75,16.42,13.19,360.05,3.622
Karnataka,Maize,Rabi,751.55,26.24,33.56,17.97,68.41,6.39,85.14,23.74,59.78,3.71,12.45,1066.23,5.914
Karnataka,Rice,Zaid,940.6,22.24,31.47,16.41,60.27,6.15,85.67,50.71,25.68,6.74,2.01,360.18,6.152
Karnataka,Wheat,Zaid,1025.35,25.99,34.76,19.63,44.09,6.37,22.39,50.78,67.28,22.26,1.8,307.76,6.107
Maharashtra,Cotton,Zaid,809.7,20.17,24.52,12.31,53.15,6.84,66.45,58.04,59.75,1.9,10.22,259.7,4.103
Punjab,Wheat,Rabi,1047.23,39.17,44.88,31.97,67.13,5.95,109.57,14.33,66.11,4.32,5.28,557.37,4.948
Punjab,Rice,Rabi,882.64,27.2,37.18,17.59,77.6,6.6,21.07,36.58,70.94,7.06,3.38,638.95,5.879
Karnataka,Barley,Rabi,636.23,35.32,41.96,26.71,64.34,6.02,46.76,16.96,15.09,3.27,2.89,889.94,3.314
Uttar Pradesh,Soybean,Rabi,1327.34,35.71,45.49,30.1,64.16,6.74,109.56,15.12,37.11,13.49,9.4,795.73,4.243
Uttar Pradesh,Rice,Rabi,565.33,19.16,26.7,13.82,47.4,5.92,104.57,55.58,39.84,6.08,3.15,1073.76,5.951
Bihar,Barley,Zaid,930.17,26.08,30.94,21.1,87.29,6.81,37.33,55.78,59.45,8.15,13.34,798.63,4.032
Uttar Pradesh,Maize,Rabi,799.82,24.98,33.54,15.16,67.66,6.21,118.05,17.47,17.67,18.85,13.64,1149.78,5.506
Haryana,Maize,Kharif,942.24,20.86,28.36,13.94,55.84,6.88,76.73,46.15,41.92,8.3,10.15,884.22,5.604
Haryana,Barley,Kharif,843.85,20.28,27.68,12.71,64.71,6.66,115.67,35.4,27.44,20.04,7.32,838.41,4.837
Punjab,Barley,Kharif,794.98,30.5,38.24,21.51,69.04,6.35,68.5,43.27,38.28,15.71,1.02,245.59,4.343
Uttar Pradesh,Soybean,Kharif,951.66,24.75,32.25,15.72,71.15,6.03,74.18,27.5,63.98,24.12,2.63,345.22,3.496
Maharashtra,Wheat,Rabi,738.49,25.74,29.98,17.55,56.53,5.63,106.43,29.26,16.09,13.0,4.54,893.4,5.185
Haryana,Cotton,Rabi,934.8,21.23,27.65,14.53,85.75,6.65,100.86,38.36,72.25,7.66,4.79,525.82,4.391
Haryana,Rice,Rabi,572.04,34.23,38.35,28.56,60.88,6.66,26.86,49.52,68.66,5.72,12.08,561.43,5.139
Haryana,Cotton,Zaid,850.38,34.84,40.56,27.75,70.95,7.02,111.98,45.94,21.29,21.79,11.28,513.13,3.684
Bihar,Barley,Rabi,1116.28,22.53,30.43,13.37,91.72,5.63,70.36,53.68,15.21,11.21,8.97,726.49,5.414
Karnataka,Cotton,Kharif,792.38,28.48,34.99,24.22,68.2,6.9,54.78,23.5,53.28,24.69,4.71,1148.27,4.174
Uttar Pradesh,Soybean,Zaid,872.07,28.15,37.77,23.17,48.97,7.39,46.69,56.05,57.81,5.14,9.09,380.39,2.858
Punjab,Wheat,Rabi,986.91,30.75,39.74,24.52,79.84,7.55,107.36,14.06,55.87,9.5,14.94,708.82,5.779
Bihar,Wheat,Kharif,1062.06,13.78,22.55,5.97,70.55,7.14,91.77,45.01,22.59,6.14,11.12,349.71,4.896
Karnataka,Maize,Zaid,845.17,17.9,24.06,10.26,69.25,5.33,51.42,51.93,19.92,14.0,8.46,526.51,4.769
Punjab,Maize,Rabi,867.7,26.69,33.78,21.11,85.38,6.2,106.78,38.48,30.91,10.14,13.65,1086.84,4.883
Karnataka,Rice,Rabi,654.47,19.23,28.6,14.74,70.0,5.97,70.72,57.35,28.02,12.87,5.12,1022.43,6.403
Maharashtra,Wheat,Kharif,801.11,24.28,29.73,18.71,36.76,6.44,60.27,37.28,76.15,19.96,3.19,1083.08,5.317
Uttar Pradesh,Cotton,Zaid,1090.07,19.02,26.13,13.16,63.95,5.79,80.57,15.62,57.6,20.58,5.11,281.99,3.533
Maharashtra,Cotton,Kharif,1165.16,26.42,35.62,16.45,45.72,7.09,66.65,34.67,36.16,8.89,10.31,820.8,3.465
Haryana,Rice,Kharif,1198.67,29.35,33.37,23.65,70.58,6.38,67.03,31.87,57.4,3.56,9.51,1146.92,6.95
Maharashtra,Cotton,Zaid,947.66,29.7,39.29,19.84,64.68,6.17,37.4,38.07,59.08,9.3,8.17,827.54,3.404
Punjab,Cotton,Zaid,832.49,31.27,37.85,24.88,68.5,6.22,46.46,29.67,48.82,11.71,13.25,1111.33,2.83
Bihar,Rice,Rabi,722.14,20.79,29.02,15.6,76.73,6.77,70.7,54.52,61.84,5.71,6.08,1167.83,6.401
Bihar,Rice,Zaid,478.69,23.93,31.21,14.87,64.66,7.01,32.72,28.8,35.97,5.88,12.68,226.88,4.937
Bihar,Barley,Kharif,845.42,26.04,30.94,18.63,65.03,7.68,78.33,10.06,32.97,16.57,7.1,345.64,4.245
Karnataka,Maize,Kharif,938.44,26.47,34.16,16.48,83.83,6.75,82.26,53.98,76.49,1.51,3.47,315.76,5.901
Punjab,Cotton,Kharif,949.44,24.83,32.44,19.17,83.5,6.78,94.89,34.83,42.38,18.39,13.92,993.92,4.802
Bihar,Wheat,Rabi,1127.11,22.78,31.6,17.88,68.9,5.65,88.58,40.1,78.46,13.86,5.54,764.97,6.081
Karnataka,Barley,Kharif,902.56,25.85,34.92,17.04,89.25,7.26,96.35,34.55,30.94,7.56,9.38,446.3,4.225
Bihar,Cotton,Zaid,1140.91,30.77,34.81,25.31,63.62,6.75,31.28,49.06,18.06,13.82,8.66,835.96,4.051
Punjab,Soybean,Zaid,878.06,27.87,34.76,23.75,84.36,6.72,38.25,18.45,26.65,8.61,4.57,1036.42,2.825
Maharashtra,Maize,Rabi,845.25,29.47,34.91,21.74,76.55,5.97,61.03,27.34,33.76,14.42,5.56,528.09,4.636
Bihar,Wheat,Zaid,668.42,25.18,34.71,16.77,49.37,6.38,29.71,50.43,31.26,23.93,3.85,825.36,4.985
Karnataka,Cotton,Kharif,887.88,28.66,38.44,22.89,64.72,8.0,67.08,42.77,63.33,15.67,8.62,806.63,3.987
Punjab,Maize,Zaid,773.5,14.22,23.78,10.06,67.85,6.49,76.17,47.48,62.8,18.26,11.79,272.61,4.888
Haryana,Maize,Kharif,755.99,35.37,40.83,28.64,55.56,5.64,76.8,27.06,57.01,16.39,3.99,985.81,5.189
Uttar Pradesh,Barley,Zaid,682.23,32.21,38.29,24.55,63.69,6.27,20.82,28.72,68.72,11.84,7.74,821.58,4.318
Uttar Pradesh,Soybean,Zaid,749.6,25.95,32.48,19.76,77.03,6.45,38.59,22.05,24.51,19.14,10.86,389.05,3.115
Uttar Pradesh,Maize,Kharif,560.35,27.58,33.4,21.49,56.55,6.15,74.21,18.02,40.25,3.8,5.76,600.2,4.719
Uttar Pradesh,Soybean,Kharif,910.24,26.1,33.95,21.54,59.07,6.51,81.66,40.66,39.15,6.61,7.74,333.72,4.352
Maharashtra,Barley,Zaid,558.57,30.64,39.41,23.11,62.74,7.04,21.08,40.84,41.63,5.24,14.7,603.81,3.804
Karnataka,Maize,Kharif,1086.37,23.56,30.95,18.67,79.4,6.98,31.04,37.85,74.19,8.86,1.24,1145.21,5.644
Maharashtra,Barley,Zaid,754.76,17.0,22.07,12.32,47.75,6.57,104.2,16.34,60.54,10.61,1.01,735.97,4.736
Haryana,Maize,Rabi,725.25,27.88,33.35,18.24,74.59,5.26,39.27,50.75,59.04,24.29,10.79,612.63,4.602
Bihar,Maize,Kharif,745.32,23.96,32.91,18.88,69.82,7.52,39.59,17.22,77.36,21.85,11.36,1149.12,4.891
Uttar Pradesh,Wheat,Zaid,993.23,26.7,32.69,20.1,68.67,6.76,92.08,14.41,70.09,5.45,11.16,791.88,5.628
Haryana,Wheat,Kharif,1100.41,34.26,39.47,29.45,48.49,5.28,42.32,27.02,45.07,13.09,10.14,788.52,5.305
Bihar,Maize,Rabi,1434.65,18.83,27.93,11.31,63.11,6.59,112.86,31.08,42.75,22.38,9.27,649.15,6.088
Haryana,Rice,Rabi,672.35,28.18,32.21,24.06,79.11,7.11,68.9,55.89,37.86,19.98,10.97,677.1,5.823
Maharashtra,Barley,Zaid,786.1,20.77,27.19,13.5,85.69,6.96,92.12,57.67,45.89,24.43,7.91,821.42,4.827
Maharashtra,Rice,Zaid,642.47,18.95,25.13,10.74,62.81,6.73,50.38,23.59,60.08,5.77,14.44,1190.68,6.242
Maharashtra,Maize,Rabi,911.19,28.19,37.79,18.25,95.0,7.18,74.11,18.98,62.03,4.58,13.34,653.97,4.917
Bihar,Wheat,Rabi,1009.8,27.72,34.13,20.94,45.83,6.02,45.29,30.47,65.58,9.43,13.36,443.07,5.03
Punjab,Maize,Rabi,972.33,28.37,33.19,22.39,59.71,6.13,47.45,37.52,74.02,10.88,9.95,428.9,5.273
Haryana,Cotton,Kharif,982.74,22.62,27.03,16.7,73.97,6.55,46.62,58.72,47.0,5.92,6.17,383.43,3.741
Uttar Pradesh,Rice,Kharif,637.21,31.82,36.66,23.71,61.48,6.03,56.62,12.04,64.51,14.7,12.5,626.14,4.405
Haryana,Barley,Rabi,975.26,19.63,28.32,10.46,65.2,7.47,62.88,51.69,52.67,15.72,3.92,646.16,4.537
Bihar,Cotton,Rabi,808.84,31.22,38.49,21.84,35.13,5.93,70.04,30.03,59.49,4.14,8.03,338.77,3.325
Uttar Pradesh,Rice,Zaid,774.5,32.8,39.75,24.47,78.36,6.29,98.55,36.61,63.74,9.42,13.84,277.35,5.276
Uttar Pradesh,Barley,Rabi,810.99,33.27,38.63,24.77,67.65,7.33,84.07,14.17,61.22,22.05,12.34,208.86,4.138
Bihar,Maize,Zaid,1249.25,28.95,34.12,20.84,63.2,6.38,110.57,26.96,54.25,2.99,1.87,271.47,5.663
Karnataka,Maize,Kharif,753.41,24.48,31.7,20.46,63.78,5.83,100.33,45.05,70.23,9.72,2.54,601.06,5.418
